code,tradeStatus,code_name
sh.600436,1,片仔癀
sh.600438,1,通威股份
sh.600439,1,瑞贝卡
sh.600444,1,国机通用
sh.600446,1,金证股份
sh.600448,1,华纺股份
sh.600449,1,宁夏建材
sh.600452,1,涪陵电力
sh.600455,1,博通股份
sh.600456,1,宝钛股份
sh.600458,1,时代新材
sh.600459,1,贵研铂业
sh.600460,1,士兰微
sh.600461,1,洪城水业
sh.600462,1,*ST九有
sh.600463,1,空港股份
sh.600466,1,蓝光发展
sh.600467,1,好当家
sh.600468,1,百利电气
sh.600469,1,风神股份
sh.600470,1,*ST六化
sh.600475,1,华光环能
sh.600476,1,湘邮科技
sh.600477,1,杭萧钢构
sh.600478,1,科力远
sh.600479,1,千金药业
sh.600480,1,凌云股份
sh.600481,1,双良节能
sh.600482,1,中国动力
sh.600483,1,福能股份
sh.600485,0,*ST信威
sh.600486,1,扬农化工
sh.600487,1,亨通光电
sh.600488,1,天药股份
sh.600489,1,中金黄金
sh.600490,1,鹏欣资源
sh.600491,1,龙元建设
sh.600493,1,凤竹纺织
sh.600495,1,晋西车轴
sh.600496,1,精工钢构
sh.600497,1,驰宏锌锗
sh.600498,1,烽火通信
sh.600499,1,科达制造
sh.600500,1,中化国际
sh.600501,1,航天晨光
sh.600502,1,安徽建工
sh.600503,1,华丽家族
sh.600505,1,西昌电力
sh.600506,1,香梨股份
sh.600507,1,方大特钢
sh.600508,1,上海能源
sh.600509,1,天富能源
sh.600510,1,黑牡丹
sh.600511,1,国药股份
sh.600512,1,腾达建设
sh.600513,1,联环药业
sh.600515,1,海航基础
sh.600516,1,方大炭素
sh.600517,1,国网英大
sh.600518,0,ST康美
sh.600519,1,贵州茅台
sh.600520,1,文一科技
sh.600521,1,华海药业
sh.600522,1,中天科技
sh.600523,1,贵航股份
sh.600525,1,长园集团
sh.600526,0,菲达环保
sh.600527,1,江南高纤
sh.600528,1,中铁工业
sh.600529,1,山东药玻
sh.600530,1,*ST交昂
sh.600531,1,豫光金铅
sh.600532,1,宏达矿业
sh.600533,1,栖霞建设
sh.600535,1,天士力
sh.600536,1,中国软件
sh.600537,1,亿晶光电
sh.600538,1,国发股份
sh.600539,1,ST狮头
sh.600540,1,新赛股份
sh.600543,1,莫高股份
sh.600545,1,卓郎智能
sh.600546,1,山煤国际
sh.600547,1,山东黄金
sh.600548,1,深高速
sh.600549,1,厦门钨业
sh.600550,1,保变电气
sh.600551,1,时代出版
sh.600552,1,凯盛科技
sh.600555,1,*ST海创
sh.600556,1,天下秀
sh.600557,1,康缘药业
sh.600558,1,大西洋
